ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
FAK23998	gm24385_181205DNA1e	HG002	54341	49900	0	8407.07	31274	7189	3442	2141	1563	1209	976	728	655	543	465	411	320	318	274	261	250	5518	4803	3896	3028	2203	1432	908	606	386	239	
FAK24576	gm24385_181114DNA1a	HG002	5781	4667	0	6429.39	3460	894	417	251	151	106	81	59	50	45	38	21	25	11	15	11	13	549	449	332	259	198	126	98	93	71	46	
FAK24602	gm24385_181205DNA1b	HG002	137731	104499	0	6232.52	91794	17020	6868	4135	2965	2093	1653	1342	1123	976	838	684	643	525	489	427	428	12548	10992	9488	6924	5207	3468	2546	1998	1481	1200	
FAK24633	gm24385_181205DNA1d	HG002	101976	26565	0	2258.51	87626	5686	1855	893	583	446	403	364	293	275	244	200	213	198	147	163	149	5918	5465	5068	4523	4296	2897	2857	2605	2359	2316	
FAK26943	gm24385_181114DNA2d	HG002	200830	157268	0	5236.11	132242	27009	10948	5841	3762	2739	2092	1687	1390	1170	1012	882	786	672	625	600	521	18220	15366	12710	10101	7648	5261	3854	2657	2132	1792	
FAK26946	gm24385_181004DNA1e	HG002	238697	193230	0	6435.46	156035	32534	12697	7146	4842	3669	2782	2270	1942	1582	1378	1151	1036	934	777	736	668	23623	18612	14816	11104	8326	5694	4311	3289	2629	2007	
FAK26958	gm24385_181205DNA2d	HG002	103099	93990	0	9587.68	59622	13334	5992	3284	2307	1839	1558	1327	1086	957	901	782	683	678	616	551	579	9743	8212	7069	5193	3729	2427	1658	1035	630	376	
FAK26962	gm24385_181205DNA2b	HG002	14889	13712	0	12679.4	8492	1793	859	523	388	313	245	194	192	160	166	122	120	99	86	95	93	1438	1130	855	669	473	284	208	118	75	47	
FAK26979	gm24385_181205DNA2a	HG002	96493	71075	0	11257.6	56534	11439	5666	3388	2512	1846	1586	1371	1183	969	814	801	624	607	538	485	457	8509	6856	5543	4219	2997	2046	1592	1237	997	788	
FAK27069	gm24385_181004DNA1f	HG002	235491	171019	0	3620.45	171408	28888	9818	5231	3468	2712	1959	1632	1298	1067	893	793	640	612	529	449	393	24709	20151	16524	12809	9935	6659	4796	3601	2642	2088	
FAK27084	gm24385_181205DNA2e	HG002	138804	126498	0	9613.19	80635	18407	8105	4893	3566	2664	2227	1856	1596	1415	1201	980	947	861	704	673	660	13642	11271	9326	6917	5009	3187	2128	1263	818	536	
FAK27104	gm24385_181114DNAe	HG002	154094	122185	0	6177.52	99804	20473	7933	4243	2865	2161	1638	1394	1167	1014	898	783	682	637	600	552	525	14056	11463	9882	7566	5789	3873	2817	1998	1592	1187	
FAK27112	gm24385_181114DNA2c	HG002	303927	245687	0	3734.74	205944	43776	16576	8338	5213	3624	2768	2118	1656	1471	1210	988	853	744	683	630	547	28804	24000	20659	16284	12541	8569	6207	4388	3380	2670	
FAK27139	gm24385_181004DNA1d	HG002	53759	35728	0	3501.75	40096	5846	1860	971	676	493	390	338	295	243	182	199	139	156	133	123	114	4840	4056	3576	2846	2301	1669	1326	1133	909	757	
FAK27218	gm24385_181205DNA2c	HG002	45882	42397	0	12580.7	25018	5333	2881	1799	1318	1044	810	768	622	573	460	415	400	325	321	312	288	4220	3467	2914	2125	1531	1047	723	458	287	169	
